ja,en
電話は使いませんでしたよ。,I didn't make any phone calls.
映画は見ていないです。,I didn't watch any movies.
ミニバーのコーラをお飲みになりましたので、その料金です。,You had a coke from the mini bar. This is fee.
それでは、こちらにサインをお願いします。,"Please put your signature here, thanks."
預けていた貴重品を出してください。,I'd like my valuables back.
かしこまりました。こちらです。,Certainly. Here you are.
ご利用誠に有難うございました。,Thank you very much for your stay.
私/私達にとって良い滞在となりました。お世話になりました。,I/We enjoyed my/our stay. Thank you very much.
靴は玄関でお脱ぎ下さい。,Please take your shoes off at the entrance.
建物内ではスリッパをご利用下さい。,Please put these slippers on while walking inside the building.
室内では靴をお脱ぎください。,Please take your shoes off before you go inside your room.
スリッパで畳の部屋に入らないで下さい。,Please don't step on the tatami floor with your slippers on.
ポットとお茶がお部屋に用意してあります。ご自由にお飲み下さい。,A tea serving set and a thermos with hot water are provided in your room. Please enjoy tea anytime.
大浴場はここにあります。（略図を見せながら。）,Daiyokujou (big bath room) is here. (Showing a small map of the building.)
男湯と女湯に分かれています。入る前にご注意下さい。,Daiyokujou (big bath room) for men and women are separated. Please be careful when you go inside the bath room.
女湯のマークはこれです。男湯のマークはこれです。（マーク（漢字）を見せながら）,This symbol is for the bath for women and this symbol is for men. (Showing the symbols)
浴槽の詮は抜かないで下さいね。,Please don't pull out the drain plug of the bath tub.
浴衣は室内着、またはパジャマとしてご利用下さい。,You can wear Yukata for pajamas or as a robe.
浴衣姿で部屋の外を歩いてもかもいません。,You can go out of your room wearing Yukata.
浴衣姿で夕食をお目し上がりになってもかまいません。,You can have dinner wearing Yukata if you like.
入浴後、浴衣を着用頂けます。,"After taking the bath, you can put on Yukata."
大浴場に行く時は部屋のバスタオルとタオルを持参して下さい。,Please bring the bath towel and the hand towel in your room when you go to Daiyokujou (big bath room).
大浴場にシャンプー、リンス、せっけんはあります。,"In the Daiyokujou (big bath room), shampoo, hair conditioner and soap are provided."
浴槽に、タオルを入れないで下さい。,Please don't put the hand towel into the bath tub.
浴槽には身体を洗ってから入ります。,"You are only to go inside the bath tub after you washed your body, please."
大浴場の脱衣所には貴重品を持って行かない様にしてください。,It is better not to bring precious belongings to the changing (dressing) room of Daiyokujou (big bath room).
トイレのスリッパで室内は歩かないで下さい。,Please do not walk in your room in the slippers from the toilet room.
夕飯は{0}時にお部屋にお持ちします。,We will bring your dinner to your room at {0}.
お食事はお済ですか？お下げしてよろしいでしょうか。,Are you finished? Can I take the dishes away?
夕飯は{0}時にご用意いたします。時間になりましたら、食堂までお越し下さい。,Dinner will be ready at {0}. Please come to the cafeteria at that time.
夜、お布団を敷きにまいります。,We will come to your room to prepare the futons.
失礼します、お布団を敷きいたします。,May I come in? I have come to lay out your futons for you.
明日の朝は{0}時にお布団を上げに参ります。,We will come to fold up the futons at {0} tomorrow morning.
おはようございます、お布団を上げに参りました。,Good morning. I am here to fold up the futons.
今日は快晴で、ご旅行に最高ですね！,"It's so sunny today. Perfect for traveling, isn't it!"
良いご旅行を！,Have a nice trip!
当旅館へのまたのお越しをお待ちしております。,We hope you enjoy your stay at our Ryokan again.
（電話に出る） はい、ABCホテルでございます。,"Hello, ABC hotel, how may I help you?"
もしもし、そちらに宿泊されているゲストの方と連絡を取りたいのですが、お願いできますでしょうか。,Hello? I'd like to contact a guest staying at your hotel. Would you please help me?
承知しました。そちら様のお名前と呼び出すお客様のお名前をお教え下さい。,Certainly. Could you tell me your name and the name of the guest you'd like to contact ?
ジョン・スミス氏をお願いします。私の名前は鈴木花子です。,I'd like to talk to Mr. John Smith. My name is Hanako Suzuki.
では、お呼びしてみますので少々お待ち下さい。,OK. Please hold the line.
もしもしスミス様でございますか。鈴木花子さまという方からお電話が入っております。おつなぎして宜しいでしょうか。,"Hello, Mr.Smith? You have a phone call from Hanako, calling from Tokyo. Will you accept this call?"
（スミス氏）はい、お願いします。,"Yes, please. Thank you very much."
お待たせしました。残念ながら外出中の様です。戻られましたら電話があった事をお伝えしましょうか？,"Hello? I called him, but he was out, unfortunately. Shall I tell him that you tried to get in touch with you, when he comes back?"
お願いします。私の名前は鈴木花子です。日本から電話しています。念のため電話番号をお伝えします。電話番号は{0}です。,"Yes, please. My name is Hanako Suzuki, calling from Japan. Please give him my phone number, just in case. The number is {0}."
承知しました。確かにお伝えいたいます。,"Sure, I will send this message to Mr. Smith."
いらっしゃいませ /ご注文をどうぞ。,Hello / What would you like to have?
（メニューの写真を指差しながら） これを１つとこれを１つ下さい。,(As you point at a photo in Menu) I will have this one and this one.
ハンバーガー１つとコーヒーのMを１つ。,One Hamburger and a Medium Coffee please.
ハンバーガー１つとコーヒーを１つ。,One Hamburger and a Coffee please.
"コーヒーにはS,M,Lの３サイズございますが、どれにいたしますか？","We have 3 sizes for coffee, Small, Medium and Large.. Which size would you like?"
S をください。,"Small one, please."
